run_accession	study_accession	secondary_study_accession	sample_accession	secondary_sample_accession	experiment_accession	submission_accession	tax_id	scientific_name	instrument_platform	instrument_model	library_name	nominal_length	library_layout	library_strategy	library_source	library_selection	read_count	base_count	center_name	first_public	last_updated	experiment_title	study_title	study_alias	experiment_alias	run_alias	fastq_bytes	fastq_md5	fastq_ftp	fastq_aspera	fastq_galaxy	submitted_bytes	submitted_md5	submitted_ftp	submitted_aspera	submitted_galaxy	submitted_format	sra_bytes	sra_md5	sra_ftp	sra_aspera	sra_galaxy	sample_alias	broker_name	sample_title	nominal_sdev	first_created	bam_ftp	bam_bytes	bam_md5
SRR17111307	PRJNA785817	SRP349102	SAMN23582751	SRS11208273	SRX13298583	SRA1338067	9606	Homo sapiens	ILLUMINA	Illumina HiSeq 2500			PAIRED	RNA-Seq	TRANSCRIPTOMIC	cDNA	30403855	7600963750	GEO	2023-08-08	2023-08-09	Illumina HiSeq 2500 sequencing: GSM5712993: MEC1 SF3B1 WT rep 3 Homo sapiens RNA-Seq	Chronic Lymphocytic Leukemia MEC1 SF3B1 K700E and Wild Type Cell Lines' RNA-seq after Treatment with H3B-8800 Splicing Modulator.	GSE190087	GSM5712993	GSM5712993_r1	1421525613;1424152839	1105fe6082a3751911138161b668973f;8a80a1cf41f02ca90af24ddd2fa75e63	ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/007/SRR17111307/SRR17111307_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/007/SRR17111307/SRR17111307_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR171/007/SRR17111307/SRR17111307_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR171/007/SRR17111307/SRR17111307_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/007/SRR17111307/SRR17111307_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/007/SRR17111307/SRR17111307_2.fastq.gz							1905744985	d0e96c218d25c271706ed74a642a6431	ftp.sra.ebi.ac.uk/vol1/srr/SRR171/007/SRR17111307.lite	fasp.sra.ebi.ac.uk:/vol1/srr/SRR171/007/SRR17111307.lite	ftp.sra.ebi.ac.uk/vol1/srr/SRR171/007/SRR17111307.lite	GSM5712993		MEC1 SF3B1 WT rep 3		2023-08-08			
SRR17111301	PRJNA785817	SRP349102	SAMN23582748	SRS11208271	SRX13298581	SRA1338067	9606	Homo sapiens	ILLUMINA	Illumina HiSeq 2500			PAIRED	RNA-Seq	TRANSCRIPTOMIC	cDNA	30186654	7546663500	GEO	2023-08-08	2023-08-09	Illumina HiSeq 2500 sequencing: GSM5712991: MEC1 SF3B1 WT rep 1 Homo sapiens RNA-Seq	Chronic Lymphocytic Leukemia MEC1 SF3B1 K700E and Wild Type Cell Lines' RNA-seq after Treatment with H3B-8800 Splicing Modulator.	GSE190087	GSM5712991	GSM5712991_r1	1411450593;1414003430	04395d11f8eb0135b95fd8abc5bb2e6c;93f8c5728585f17ff36e5287093b4c57	ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/001/SRR17111301/SRR17111301_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/001/SRR17111301/SRR17111301_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR171/001/SRR17111301/SRR17111301_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR171/001/SRR17111301/SRR17111301_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/001/SRR17111301/SRR17111301_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/001/SRR17111301/SRR17111301_2.fastq.gz							1891781993	ae96d1f2c225e1f0699907dcfb51ea7c	ftp.sra.ebi.ac.uk/vol1/srr/SRR171/001/SRR17111301.lite	fasp.sra.ebi.ac.uk:/vol1/srr/SRR171/001/SRR17111301.lite	ftp.sra.ebi.ac.uk/vol1/srr/SRR171/001/SRR17111301.lite	GSM5712991		MEC1 SF3B1 WT rep 1		2023-08-08			
SRR17111303	PRJNA785817	SRP349102	SAMN23582748	SRS11208271	SRX13298581	SRA1338067	9606	Homo sapiens	ILLUMINA	Illumina HiSeq 2500			PAIRED	RNA-Seq	TRANSCRIPTOMIC	cDNA	35923979	8980994750	GEO	2023-08-08	2023-08-09	Illumina HiSeq 2500 sequencing: GSM5712991: MEC1 SF3B1 WT rep 1 Homo sapiens RNA-Seq	Chronic Lymphocytic Leukemia MEC1 SF3B1 K700E and Wild Type Cell Lines' RNA-seq after Treatment with H3B-8800 Splicing Modulator.	GSE190087	GSM5712991	GSM5712991_r3	1679059361;1683635915	e100ae70405ec9b065b22b61cc549480;a45fd6bda2cccf06e0ffc9c65bb94ff8	ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/003/SRR17111303/SRR17111303_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/003/SRR17111303/SRR17111303_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR171/003/SRR17111303/SRR17111303_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR171/003/SRR17111303/SRR17111303_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/003/SRR17111303/SRR17111303_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/003/SRR17111303/SRR17111303_2.fastq.gz							2250494732	2d487e0206180e46c5a9a7dac0a7b785	ftp.sra.ebi.ac.uk/vol1/srr/SRR171/003/SRR17111303.lite	fasp.sra.ebi.ac.uk:/vol1/srr/SRR171/003/SRR17111303.lite	ftp.sra.ebi.ac.uk/vol1/srr/SRR171/003/SRR17111303.lite	GSM5712991		MEC1 SF3B1 WT rep 1		2023-08-08			
SRR17111308	PRJNA785817	SRP349102	SAMN23582751	SRS11208273	SRX13298583	SRA1338067	9606	Homo sapiens	ILLUMINA	Illumina HiSeq 2500			PAIRED	RNA-Seq	TRANSCRIPTOMIC	cDNA	45912464	11478116000	GEO	2023-08-08	2023-08-09	Illumina HiSeq 2500 sequencing: GSM5712993: MEC1 SF3B1 WT rep 3 Homo sapiens RNA-Seq	Chronic Lymphocytic Leukemia MEC1 SF3B1 K700E and Wild Type Cell Lines' RNA-seq after Treatment with H3B-8800 Splicing Modulator.	GSE190087	GSM5712993	GSM5712993_r2	2146886839;2150974567	d8624b6fc6761db3588190ac2cfd36b7;53201028b47f5b74abd4d22a90eb5e46	ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/008/SRR17111308/SRR17111308_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/008/SRR17111308/SRR17111308_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR171/008/SRR17111308/SRR17111308_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR171/008/SRR17111308/SRR17111308_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/008/SRR17111308/SRR17111308_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/008/SRR17111308/SRR17111308_2.fastq.gz							2877064791	afc0275a3025f9bb5dfa4719fae51b6d	ftp.sra.ebi.ac.uk/vol1/srr/SRR171/008/SRR17111308.lite	fasp.sra.ebi.ac.uk:/vol1/srr/SRR171/008/SRR17111308.lite	ftp.sra.ebi.ac.uk/vol1/srr/SRR171/008/SRR17111308.lite	GSM5712993		MEC1 SF3B1 WT rep 3		2023-08-08			
SRR17111311	PRJNA785817	SRP349102	SAMN23582753	SRS11208274	SRX13298584	SRA1338067	9606	Homo sapiens	ILLUMINA	Illumina HiSeq 2500			PAIRED	RNA-Seq	TRANSCRIPTOMIC	cDNA	38128045	9532011250	GEO	2023-08-08	2023-08-09	Illumina HiSeq 2500 sequencing: GSM5712994: MEC1 SF3B1 K700E rep1 Homo sapiens RNA-Seq	Chronic Lymphocytic Leukemia MEC1 SF3B1 K700E and Wild Type Cell Lines' RNA-seq after Treatment with H3B-8800 Splicing Modulator.	GSE190087	GSM5712994	GSM5712994_r2	1782297321;1785191029	5f848bef6df7b8fdce20612a1c31211a;2093cd2721428c6a40c0cb6b00273e1e	ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/011/SRR17111311/SRR17111311_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/011/SRR17111311/SRR17111311_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR171/011/SRR17111311/SRR17111311_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR171/011/SRR17111311/SRR17111311_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/011/SRR17111311/SRR17111311_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/011/SRR17111311/SRR17111311_2.fastq.gz							2388719943	553a5fb64a8b78938e36ba378c87c185	ftp.sra.ebi.ac.uk/vol1/srr/SRR171/011/SRR17111311.lite	fasp.sra.ebi.ac.uk:/vol1/srr/SRR171/011/SRR17111311.lite	ftp.sra.ebi.ac.uk/vol1/srr/SRR171/011/SRR17111311.lite	GSM5712994		MEC1 SF3B1 K700E rep1		2023-08-08			
SRR17111309	PRJNA785817	SRP349102	SAMN23582751	SRS11208273	SRX13298583	SRA1338067	9606	Homo sapiens	ILLUMINA	Illumina HiSeq 2500			PAIRED	RNA-Seq	TRANSCRIPTOMIC	cDNA	50688138	12672034500	GEO	2023-08-08	2023-08-09	Illumina HiSeq 2500 sequencing: GSM5712993: MEC1 SF3B1 WT rep 3 Homo sapiens RNA-Seq	Chronic Lymphocytic Leukemia MEC1 SF3B1 K700E and Wild Type Cell Lines' RNA-seq after Treatment with H3B-8800 Splicing Modulator.	GSE190087	GSM5712993	GSM5712993_r3	2369619031;2375949519	d2b69614024801f78950dc99d56f7291;c15a46a7cbd2345111a525127ba92102	ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/009/SRR17111309/SRR17111309_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/009/SRR17111309/SRR17111309_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR171/009/SRR17111309/SRR17111309_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR171/009/SRR17111309/SRR17111309_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/009/SRR17111309/SRR17111309_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/009/SRR17111309/SRR17111309_2.fastq.gz							3175545957	e523f954afbdeafec10a4b8d7427a4c7	ftp.sra.ebi.ac.uk/vol1/srr/SRR171/009/SRR17111309.lite	fasp.sra.ebi.ac.uk:/vol1/srr/SRR171/009/SRR17111309.lite	ftp.sra.ebi.ac.uk/vol1/srr/SRR171/009/SRR17111309.lite	GSM5712993		MEC1 SF3B1 WT rep 3		2023-08-08			
SRR17111313	PRJNA785817	SRP349102	SAMN23582754	SRS11208275	SRX13298585	SRA1338067	9606	Homo sapiens	ILLUMINA	Illumina HiSeq 2500			PAIRED	RNA-Seq	TRANSCRIPTOMIC	cDNA	31406757	7851689250	GEO	2023-08-08	2023-08-09	Illumina HiSeq 2500 sequencing: GSM5712995: MEC1 SF3B1 K700E rep2 Homo sapiens RNA-Seq	Chronic Lymphocytic Leukemia MEC1 SF3B1 K700E and Wild Type Cell Lines' RNA-seq after Treatment with H3B-8800 Splicing Modulator.	GSE190087	GSM5712995	GSM5712995_r1	1467531003;1470051540	0472db69ad78c57ca04995f58282dcba;25a40e1520466390d9b9b280ab2838ce	ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/013/SRR17111313/SRR17111313_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/013/SRR17111313/SRR17111313_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR171/013/SRR17111313/SRR17111313_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR171/013/SRR17111313/SRR17111313_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/013/SRR17111313/SRR17111313_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/013/SRR17111313/SRR17111313_2.fastq.gz							1968120658	641bf0f821960f8d95ba94ef29720790	ftp.sra.ebi.ac.uk/vol1/srr/SRR171/013/SRR17111313.lite	fasp.sra.ebi.ac.uk:/vol1/srr/SRR171/013/SRR17111313.lite	ftp.sra.ebi.ac.uk/vol1/srr/SRR171/013/SRR17111313.lite	GSM5712995		MEC1 SF3B1 K700E rep2		2023-08-08			
SRR17111310	PRJNA785817	SRP349102	SAMN23582753	SRS11208274	SRX13298584	SRA1338067	9606	Homo sapiens	ILLUMINA	Illumina HiSeq 2500			PAIRED	RNA-Seq	TRANSCRIPTOMIC	cDNA	36900405	9225101250	GEO	2023-08-08	2023-08-09	Illumina HiSeq 2500 sequencing: GSM5712994: MEC1 SF3B1 K700E rep1 Homo sapiens RNA-Seq	Chronic Lymphocytic Leukemia MEC1 SF3B1 K700E and Wild Type Cell Lines' RNA-seq after Treatment with H3B-8800 Splicing Modulator.	GSE190087	GSM5712994	GSM5712994_r1	1725194341;1727852647	9064f532a839ca005b8ada0a8b61884a;e019009b0c205b46dad1a30ec71e40db	ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/010/SRR17111310/SRR17111310_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/010/SRR17111310/SRR17111310_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR171/010/SRR17111310/SRR17111310_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR171/010/SRR17111310/SRR17111310_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/010/SRR17111310/SRR17111310_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/010/SRR17111310/SRR17111310_2.fastq.gz							2312363818	8beed604cf797f38253b66641491d47f	ftp.sra.ebi.ac.uk/vol1/srr/SRR171/010/SRR17111310.lite	fasp.sra.ebi.ac.uk:/vol1/srr/SRR171/010/SRR17111310.lite	ftp.sra.ebi.ac.uk/vol1/srr/SRR171/010/SRR17111310.lite	GSM5712994		MEC1 SF3B1 K700E rep1		2023-08-08			
SRR17111315	PRJNA785817	SRP349102	SAMN23582754	SRS11208275	SRX13298585	SRA1338067	9606	Homo sapiens	ILLUMINA	Illumina HiSeq 2500			PAIRED	RNA-Seq	TRANSCRIPTOMIC	cDNA	41412675	10353168750	GEO	2023-08-08	2023-08-09	Illumina HiSeq 2500 sequencing: GSM5712995: MEC1 SF3B1 K700E rep2 Homo sapiens RNA-Seq	Chronic Lymphocytic Leukemia MEC1 SF3B1 K700E and Wild Type Cell Lines' RNA-seq after Treatment with H3B-8800 Splicing Modulator.	GSE190087	GSM5712995	GSM5712995_r3	1934412465;1939445895	f676a73b46da95c35ffeba83545029e4;bb2dc81f7214b45051a80ee2673b55a0	ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/015/SRR17111315/SRR17111315_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/015/SRR17111315/SRR17111315_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR171/015/SRR17111315/SRR17111315_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR171/015/SRR17111315/SRR17111315_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/015/SRR17111315/SRR17111315_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/015/SRR17111315/SRR17111315_2.fastq.gz							2594021389	918c7a0fdfdc8ee04642cf303fe6b9b2	ftp.sra.ebi.ac.uk/vol1/srr/SRR171/015/SRR17111315.lite	fasp.sra.ebi.ac.uk:/vol1/srr/SRR171/015/SRR17111315.lite	ftp.sra.ebi.ac.uk/vol1/srr/SRR171/015/SRR17111315.lite	GSM5712995		MEC1 SF3B1 K700E rep2		2023-08-08			
SRR17111317	PRJNA785817	SRP349102	SAMN23582755	SRS11208276	SRX13298586	SRA1338067	9606	Homo sapiens	ILLUMINA	Illumina HiSeq 2500			PAIRED	RNA-Seq	TRANSCRIPTOMIC	cDNA	47741227	11935306750	GEO	2023-08-08	2023-08-09	Illumina HiSeq 2500 sequencing: GSM5712996: MEC1 SF3B1 K700E rep3 Homo sapiens RNA-Seq	Chronic Lymphocytic Leukemia MEC1 SF3B1 K700E and Wild Type Cell Lines' RNA-seq after Treatment with H3B-8800 Splicing Modulator.	GSE190087	GSM5712996	GSM5712996_r2	2230196544;2233779365	a67ef10833a6a3159153ed0ceae09191;485953c639157c4ed63d403a2f4523f7	ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/017/SRR17111317/SRR17111317_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/017/SRR17111317/SRR17111317_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR171/017/SRR17111317/SRR17111317_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR171/017/SRR17111317/SRR17111317_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/017/SRR17111317/SRR17111317_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/017/SRR17111317/SRR17111317_2.fastq.gz							2990959510	b3d2a3201486738686b54f13727b3b04	ftp.sra.ebi.ac.uk/vol1/srr/SRR171/017/SRR17111317.lite	fasp.sra.ebi.ac.uk:/vol1/srr/SRR171/017/SRR17111317.lite	ftp.sra.ebi.ac.uk/vol1/srr/SRR171/017/SRR17111317.lite	GSM5712996		MEC1 SF3B1 K700E rep3		2023-08-08			
